clusters,silhouette_score,davies_bouldin_score,inertia
2,0.39578598709528773,1.0727520432240074,56337.79978967567
3,0.39430945976316384,0.8517196002582281,35349.9303421653
4,0.37255609054396904,0.9977145941358004,29524.667910476357
5,0.3581684389111952,0.9162683297324152,23578.557994293027
6,0.35118882036539806,0.8757721350087992,19531.040766133847
7,0.3492692930406651,0.8793927831524638,17277.08893292571
8,0.3437174170521247,0.8815936466650294,15534.295818102999
9,0.34079305237470137,0.8844736843401808,13944.224873429961
10,0.33944153242457376,0.8971399312740429,12840.248995773556
11,0.331504207423712,0.9392835481409123,12101.856553492973
12,0.33073196556035,0.8930814572406142,11096.17848945452
