clusters,silhouette_score,davies_bouldin_score,inertia
2,0.8027685978235063,0.5772727811749883,209515.41894736455
3,0.6282187629038258,0.6686507018608713,144448.08771844843
4,0.46686798951867764,0.7725863927211,113383.72614575193
5,0.4229705178190182,0.7941499757795044,93598.42723848778
6,0.3958428493674537,0.7422192243999851,70477.85088616906
7,0.3936171904475028,0.7374940940746749,59225.71168324144
8,0.3790961457939449,0.7463345851691638,49964.89442712096
9,0.36843923879055485,0.7597223291831684,45089.58821248326
