clusters,threshold,branching_factor,silhouette_score,davies_bouldin_score
2,0.3,30,0.9013477992971999,0.34593929980717053
2,0.3,40,0.8784733390256564,0.3947841080449618
2,0.3,50,0.9015490801175409,0.3457406571571624
2,0.5,30,0.9309344651761051,0.3369444355020489
2,0.5,40,0.9727676197534153,0.24171406096503648
2,0.5,50,0.9727676197534153,0.24171406096503648
2,0.7,30,0.9727676197534153,0.24171406096503648
2,0.7,40,0.9727676197534153,0.24171406096503648
2,0.7,50,0.9727676197534153,0.24171406096503648
3,0.3,30,0.8957745562063584,0.3497781347685034
3,0.3,40,0.8740799450408634,0.36045051210155776
3,0.3,50,0.8959620001534129,0.3498553023265531
3,0.5,30,0.9221867396307376,0.3784847735542589
3,0.5,40,0.8730537658885121,0.3624362692168452
3,0.5,50,0.8990946619797939,0.3517919188332251
3,0.7,30,0.9039617159329466,0.3553907260872628
3,0.7,40,0.9171378221792359,0.3715885339913525
3,0.7,50,0.9277459981329291,0.39083758167995875
4,0.3,30,0.8886765190113125,0.4225064449882077
4,0.3,40,0.8679626369851563,0.4334602611132663
4,0.3,50,0.8888527799916826,0.42246166551576314
4,0.5,30,0.8372299919213687,0.45570922227901656
4,0.5,40,0.8666270090843604,0.43631273179193597
4,0.5,50,0.8913433129444656,0.4267988457296878
4,0.7,30,0.9039454167655291,0.23136585113057767
4,0.7,40,0.9171272143044246,0.23411248728787143
4,0.7,50,0.9277412691329352,0.23700106364789003
5,0.3,30,0.7879829938828093,0.49974416191857995
5,0.3,40,0.8679735663743751,0.29926069534001837
5,0.3,50,0.8888653198180332,0.2977711839297424
5,0.5,30,0.8372293396156048,0.35789382544563647
5,0.5,40,0.8666373424455399,0.3036017699012665
5,0.5,50,0.8913555939078847,0.30630587681793436
5,0.7,30,0.8958083092747828,0.31073629364415767
5,0.7,40,0.8557831181155016,0.38520920371366224
5,0.7,50,0.858483285365836,0.3457972605818128
6,0.3,30,0.7879955217479881,0.38286897608955556
6,0.3,40,0.8414709270961483,0.38830539353274135
6,0.3,50,0.7495906801580797,0.38720917930182325
6,0.5,30,0.8368489999349331,0.3635466579582014
6,0.5,40,0.8423386805091014,0.3919749581376752
6,0.5,50,0.8156298839405756,0.3912100988921334
6,0.7,30,0.836571978239579,0.39474467246892764
6,0.7,40,0.8555780194137705,0.3882142405533921
6,0.7,50,0.8581702414202239,0.35487856437495807
7,0.3,30,0.7872607101590516,0.43091593753503515
7,0.3,40,0.7563039828766138,0.44467376514218443
7,0.3,50,0.7487997519980365,0.4363974789719209
7,0.5,30,0.7982449169142659,0.43770633348891835
7,0.5,40,0.7241300409934133,0.44045906333927615
7,0.5,50,0.8153405035052925,0.429458649621504
7,0.7,30,0.8365704113603522,0.3401108523610036
7,0.7,40,0.8555792014573805,0.33374984177151845
7,0.7,50,0.8581728615452643,0.3044356014306291
8,0.3,30,0.5842900462373422,0.5266515702553474
8,0.3,40,0.7562208558513921,0.46700152025201247
8,0.3,50,0.712995582582503,0.4664973047794545
8,0.5,30,0.7982475370393064,0.3832152697733855
8,0.5,40,0.7241288832318634,0.386940171886049
8,0.5,50,0.8153408874767064,0.3773148098829985
8,0.7,30,0.8252372659576451,0.39652993046517504
8,0.7,40,0.7551405402071291,0.3840756681800467
8,0.7,50,0.7469137066236184,0.38092918896213646
9,0.3,30,0.5842906942862511,0.46934519505195027
9,0.3,40,0.7562215039003013,0.41632292838231916
9,0.3,50,0.7129962306314118,0.41587473685115656
9,0.5,30,0.7979226273854013,0.42855216905901555
9,0.5,40,0.7235529056725029,0.4175198962963566
9,0.5,50,0.8044460179085926,0.4413584387933907
9,0.7,30,0.7312064553827703,0.43209580694258787
9,0.7,40,0.7540295988494566,0.44591872220872664
9,0.7,50,0.7466170167350661,0.40021496327556505
